title,price,description,date,token,hour,link
"הרצליה פיתוח
בית פרטי/ קוטג', הרצליה פיתוח, הרצליה
5 חדרים • קומה קרקע • 1000 מ״ר","22,000,000 ₪","בית פרטי/ קוטג', הרצליה פיתוח, הרצליה",2024-06-20,ib17a4dj,18:35:35,https://www.yad2.co.il/realestate/item/ib17a4dj?opened-from=feed&component-type=main_feed&spot=platinum&location=1&pagination=1
"דירה, הרצליה
4 חדרים • קומה 3 • 89 מ״ר","2,890,000 ₪","דירה, הרצליה",2024-06-20,mi5kuv7t,18:35:35,https://www.yad2.co.il/realestate/item/mi5kuv7t?opened-from=feed&component-type=main_feed&spot=platinum&location=2&pagination=1
"הרב קוקיס 18
דירת גן, עצמאות יוספטל, בת ים
3 חדרים • קומה קרקע • 68 מ״ר","2,990,000 ₪","דירת גן, עצמאות יוספטל, בת ים",2024-06-20,h6w59hs4,18:35:35,https://www.yad2.co.il/realestate/item/h6w59hs4?opened-from=feed&component-type=main_feed&spot=platinum&location=3&pagination=1
"שוהם 32
דירת גן, אבני חן, חריש
5 חדרים • קומה קרקע • 180 מ״ר","1,850,000 ₪","דירת גן, אבני חן, חריש",2024-06-20,id8hrf5s,18:35:35,https://www.yad2.co.il/realestate/item/id8hrf5s?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=1
"אריאל שרון 1
מגרשים, נווה שרון / שער העיר, נתיבות
1 חדרים • קומה 1 • 780 מ״ר","2,050,000 ₪","מגרשים, נווה שרון / שער העיר, נתיבות",2024-06-20,e4ls8cyk,18:35:35,https://www.yad2.co.il/realestate/item/e4ls8cyk?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=1
"שדרות העצמאות 27
דירה, רוטשילד עצמאות, בת ים
4 חדרים • קומה 2 • 100 מ״ר","2,650,000 ₪","דירה, רוטשילד עצמאות, בת ים",2024-06-20,twezpykl,18:35:35,https://www.yad2.co.il/realestate/item/twezpykl?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=1
"שושן צחור 3
דירה, הכלניות, שדרות
4 חדרים • קומה 2 • 124 מ״ר","1,550,000 ₪","דירה, הכלניות, שדרות",2024-06-20,ccgtoxav,18:35:35,https://www.yad2.co.il/realestate/item/ccgtoxav?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=1
"טבריה 37
דירה, עמישב, פתח תקווה
3 חדרים • קומה 1 • 54 מ״ר","1,870,000 ₪","דירה, עמישב, פתח תקווה",2024-06-20,c25djjxr,18:35:36,https://www.yad2.co.il/realestate/item/c25djjxr?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=1
"איריס 14
בית פרטי/ קוטג', צפונית / רסקו, נצרת עילית / נוף הגליל
3 חדרים • קומה קרקע • 275 מ״ר",לא צוין מחיר,"בית פרטי/ קוטג', צפונית / רסקו, נצרת עילית / נוף הגליל",2024-06-20,7t4v8lln,18:35:36,https://www.yad2.co.il/realestate/item/7t4v8lln?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=1
"נחל נעמן 1
דירה, כרמי גת, קרית גת
3 חדרים • קומה 5 • 132 מ״ר","1,690,000 ₪","דירה, כרמי גת, קרית גת",2024-06-20,s2ea2fm2,18:35:36,https://www.yad2.co.il/realestate/item/s2ea2fm2?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=1
"דרך אריאל שרון 20
דירה, בן גוריון, נצרת עילית / נוף הגליל
5 חדרים • קומה 3 • 107 מ״ר","1,380,000 ₪","דירה, בן גוריון, נצרת עילית / נוף הגליל",2024-06-20,0nic7d6s,18:35:36,https://www.yad2.co.il/realestate/item/0nic7d6s?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=1
"יגאל אלון 6
דירה, המרכז האזרחי, רמלה
4 חדרים • קומה 6 • 118 מ״ר","2,130,000 ₪","דירה, המרכז האזרחי, רמלה",2024-06-20,9hdf8uiw,18:35:36,https://www.yad2.co.il/realestate/item/9hdf8uiw?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=1
"הדקל 91
דירה, שכונה 2, תל מונד
5 חדרים • קומה 1 • 85 מ״ר","2,250,000 ₪","דירה, שכונה 2, תל מונד",2024-06-20,3mv5wvbi,18:35:36,https://www.yad2.co.il/realestate/item/3mv5wvbi?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=1
"בלפור 62
דירה, עין שרה, נהריה
4 חדרים • קומה 4 • 115 מ״ר","1,830,000 ₪","דירה, עין שרה, נהריה",2024-06-20,bvllept7,18:35:36,https://www.yad2.co.il/realestate/item/bvllept7?opened-from=feed&component-type=main_feed&spot=standard&location=14&pagination=1
"חיים הרצוג 15
דירה, פסגות אפק, ראש העין
5 חדרים • קומה 6 • 140 מ״ר","3,080,000 ₪","דירה, פסגות אפק, ראש העין",2024-06-20,jwb4ai1g,18:35:36,https://www.yad2.co.il/realestate/item/jwb4ai1g?opened-from=feed&component-type=main_feed&spot=standard&location=15&pagination=1
"יצחק שדה 12
דירה, יצחק שדה, אזור
3 חדרים • קומה 4 • 70 מ״ר","2,050,000 ₪","דירה, יצחק שדה, אזור",2024-06-20,zpbefwfr,18:35:37,https://www.yad2.co.il/realestate/item/zpbefwfr?opened-from=feed&component-type=main_feed&spot=standard&location=16&pagination=1
"משה הס 3
דירה, כצנלסון, ראשון לציון
4.5 חדרים • קומה 3 • 110 מ״ר","2,580,000 ₪","דירה, כצנלסון, ראשון לציון",2024-06-20,pmt8ss1h,18:35:37,https://www.yad2.co.il/realestate/item/pmt8ss1h?opened-from=feed&component-type=main_feed&spot=standard&location=17&pagination=1
"שער הגולן 18
גג/ פנטהאוז, קרית גנים, ראשון לציון
6 חדרים • קומה 1 • 140 מ״ר","4,450,000 ₪","גג/ פנטהאוז, קרית גנים, ראשון לציון",2024-06-20,peb58m72,18:35:37,https://www.yad2.co.il/realestate/item/peb58m72?opened-from=feed&component-type=main_feed&spot=standard&location=18&pagination=1
"אריה דולצ'ין 3
דירה, גבעתי, רחובות
4 חדרים • קומה 4 • 100 מ״ר","2,180,000 ₪","דירה, גבעתי, רחובות",2024-06-20,6k6o74vk,18:35:37,https://www.yad2.co.il/realestate/item/6k6o74vk?opened-from=feed&component-type=main_feed&spot=standard&location=19&pagination=1
"שדרות יעלים 102
דירה, שכונה ה', באר שבע
3 חדרים • קומה 2 • 76 מ״ר","760,000 ₪","דירה, שכונה ה', באר שבע",2024-06-20,vwtnac25,18:35:37,https://www.yad2.co.il/realestate/item/vwtnac25?opened-from=feed&component-type=main_feed&spot=standard&location=20&pagination=1
"ארבל 4
בית פרטי/ קוטג', אחוזה ירוקה, פרדס חנה כרכור
6 חדרים • קומה קרקע • 230 מ״ר","3,400,000 ₪","בית פרטי/ קוטג', אחוזה ירוקה, פרדס חנה כרכור",2024-06-20,s6oj1beg,18:35:37,https://www.yad2.co.il/realestate/item/s6oj1beg?opened-from=feed&component-type=main_feed&spot=standard&location=21&pagination=1
