title,price,description,date,token,hour,link
"דירה, ראש העין
5 חדרים • קומה 2 • 142 מ״ר","2,650,000 ₪","דירה, ראש העין",2024-06-17,rwxeb414,16:13:05,https://www.yad2.co.il/realestate/item/rwxeb414?opened-from=feed&component-type=main_feed&spot=platinum&location=1&pagination=1
"לב תל אביב, לב העיר צפון
דירה, לב תל אביב, לב העיר צפון, תל אביב יפו
2 חדרים • קומה 2 • 62 מ״ר","3,390,000 ₪","דירה, לב תל אביב, לב העיר צפון, תל אביב יפו",2024-06-17,k5pukrvd,16:13:05,https://www.yad2.co.il/realestate/item/k5pukrvd?opened-from=feed&component-type=main_feed&spot=platinum&location=2&pagination=1
"דירה, פתח תקווה
3 חדרים • קומה 4 • 80 מ״ר","1,800,000 ₪","דירה, פתח תקווה",2024-06-17,rj7aau7z,16:13:05,https://www.yad2.co.il/realestate/item/rj7aau7z?opened-from=feed&component-type=main_feed&spot=platinum&location=3&pagination=1
"נחל קדרון 4
דירה, פארק הנחל, באר שבע
3 חדרים • קומה 4 • 94 מ״ר","1,350,000 ₪","דירה, פארק הנחל, באר שבע",2024-06-17,yozdif85,16:13:05,https://www.yad2.co.il/realestate/item/yozdif85?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=1
"האשכול 1
בית פרטי/ קוטג', כרמיה, כרמיה
4 חדרים • קומה קרקע • 475 מ״ר",לא צוין מחיר,"בית פרטי/ קוטג', כרמיה, כרמיה",2024-06-17,ypw6fyl8,16:13:05,https://www.yad2.co.il/realestate/item/ypw6fyl8?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=1
"מוטה גור 11
גג/ פנטהאוז, קרית אילון, חולון
6 חדרים • קומה 12 • 300 מ״ר","7,000,000 ₪","גג/ פנטהאוז, קרית אילון, חולון",2024-06-17,n43cxhau,16:13:05,https://www.yad2.co.il/realestate/item/n43cxhau?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=1
"שדה דוד
מגרשים, שדה דוד, שדה דוד
1 חדרים • קומה קרקע • 500 מ״ר","2,150,000 ₪","מגרשים, שדה דוד, שדה דוד",2024-06-17,ahcejt8z,16:13:05,https://www.yad2.co.il/realestate/item/ahcejt8z?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=1
"חזון אי""ש 7
דירה, רמב""ם, ראשון לציון
3 חדרים • קומה 1 • 85 מ״ר","2,050,000 ₪","דירה, רמב""ם, ראשון לציון",2024-06-17,brvrs88m,16:13:06,https://www.yad2.co.il/realestate/item/brvrs88m?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=1
"נחלת הר חב""ד 6
דירה, חב""ד, קרית מלאכי
4.5 חדרים • קומה 3 • 94 מ״ר","1,300,000 ₪","דירה, חב""ד, קרית מלאכי",2024-06-17,kt1yfwz7,16:13:06,https://www.yad2.co.il/realestate/item/kt1yfwz7?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=1
"הרב אוורבוך 28
דירה, הדר, רמת השרון
4 חדרים • קומה 2 • 104 מ״ר","3,950,000 ₪","דירה, הדר, רמת השרון",2024-06-17,iite8ghv,16:13:06,https://www.yad2.co.il/realestate/item/iite8ghv?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=1
"הקוקיה 23
דירה, נווה הדרים, ראשון לציון
4 חדרים • קומה 11 • 110 מ״ר","2,840,000 ₪","דירה, נווה הדרים, ראשון לציון",2024-06-17,zcp2e9cb,16:13:06,https://www.yad2.co.il/realestate/item/zcp2e9cb?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=1
"שמעון בר גיורא 9
דירה, שכונה ד', באר שבע
3 חדרים • קומה 1 • 50 מ״ר","750,000 ₪","דירה, שכונה ד', באר שבע",2024-06-17,10m9zu3x,16:13:06,https://www.yad2.co.il/realestate/item/10m9zu3x?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=1
"אמנון ליפקין שחק 1
דירה, נוף הטיילת, נתניה
5 חדרים • קומה 18 • 130 מ״ר","4,500,000 ₪","דירה, נוף הטיילת, נתניה",2024-06-17,5jdat1zs,16:13:06,https://www.yad2.co.il/realestate/item/5jdat1zs?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=1
"יפה נוף 23
דירה, מרינה, פארק לאומי וחופים, אשקלון
2 חדרים • קומה 4 • 50 מ״ר","820,000 ₪","דירה, מרינה, פארק לאומי וחופים, אשקלון",2024-06-17,v03p9m0l,16:13:06,https://www.yad2.co.il/realestate/item/v03p9m0l?opened-from=feed&component-type=main_feed&spot=standard&location=14&pagination=1
"המעיין 3
דירה, שכונת הראשונים, רמת גן
4 חדרים • קומה 31 • 136 מ״ר","4,850,000 ₪","דירה, שכונת הראשונים, רמת גן",2024-06-17,jc08iilb,16:13:06,https://www.yad2.co.il/realestate/item/jc08iilb?opened-from=feed&component-type=main_feed&spot=standard&location=15&pagination=1
"נחל פרת 14
גג/ פנטהאוז, פארק הנחל, באר שבע
6 חדרים • קומה 7 • 245 מ״ר","2,350,000 ₪","גג/ פנטהאוז, פארק הנחל, באר שבע",2024-06-17,puk92cye,16:13:07,https://www.yad2.co.il/realestate/item/puk92cye?opened-from=feed&component-type=main_feed&spot=standard&location=16&pagination=1
"בלקינד 3
דירה, השומר, ראשון לציון
3 חדרים • קומה 2 • 84 מ״ר","2,200,000 ₪","דירה, השומר, ראשון לציון",2024-06-17,pmw302yw,16:13:07,https://www.yad2.co.il/realestate/item/pmw302yw?opened-from=feed&component-type=main_feed&spot=standard&location=17&pagination=1
