date,hour,link,token,price,title,description
2024-06-22,22:55:45,https://www.yad2.co.il/realestate/item/tjb3w90l?opened-from=feed&component-type=main_feed&spot=platinum&location=1&pagination=1,tjb3w90l,"4,000,000 ₪","נצח ישראל
מגרשים, שאר העיר, הוד השרון
קומה קרקע • 380 מ״ר","מגרשים, שאר העיר, הוד השרון"
2024-06-22,22:55:45,https://www.yad2.co.il/realestate/item/4a4e3by4?opened-from=feed&component-type=main_feed&spot=platinum&location=2&pagination=1,4a4e3by4,"1,669,000 ₪","תנין
דירה, בת ים
2 חדרים • קומה קרקע • 50 מ״ר","דירה, בת ים"
2024-06-22,22:55:46,https://www.yad2.co.il/realestate/item/r9sa7fma?opened-from=feed&component-type=main_feed&spot=platinum&location=3&pagination=1,r9sa7fma,"2,350,000 ₪","מבוא כפתור החולות
דירה, אשדוד
5 חדרים • קומה 1 • 110 מ״ר","דירה, אשדוד"
2024-06-22,22:55:46,https://www.yad2.co.il/realestate/item/39777kk8?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=1,39777kk8,"2,050,000 ₪","יורדי הסירה 8
דירה, רובע ב', אשדוד
4.5 חדרים • קומה 4 • 90 מ״ר","דירה, רובע ב', אשדוד"
2024-06-22,22:55:46,https://www.yad2.co.il/realestate/item/nn798wla?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=1,nn798wla,"530,000 ₪","אליהו הנביא 2
דירה, שכונה ד', באר שבע
2.5 חדרים • קומה 8 • 52 מ״ר","דירה, שכונה ד', באר שבע"
2024-06-22,22:55:46,https://www.yad2.co.il/realestate/item/o4vvy67g?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=1,o4vvy67g,"2,200,000 ₪","מאירוביץ' 17
דירה, השומר, ראשון לציון
4 חדרים • קומה 4 • 90 מ״ר","דירה, השומר, ראשון לציון"
2024-06-22,22:55:46,https://www.yad2.co.il/realestate/item/vpku4qf4?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=1,vpku4qf4,"3,170,000 ₪","חטיבת גבעתי 7
דירה, גלי הים, נתניה
5 חדרים • קומה 6 • 129 מ״ר","דירה, גלי הים, נתניה"
2024-06-22,22:55:46,https://www.yad2.co.il/realestate/item/qwg20hqz?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=1,qwg20hqz,"3,950,000 ₪","הפודים 33
דירה, נחלת גנים, רמת גן
4 חדרים • קומה 5 • 103 מ״ר","דירה, נחלת גנים, רמת גן"
2024-06-22,22:55:47,https://www.yad2.co.il/realestate/item/mri7e8om?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=1,mri7e8om,"4,950,000 ₪","הבשן 10
דירה, הצפון הישן - צפון, תל אביב יפו
4 חדרים • קומה 2 • 80 מ״ר","דירה, הצפון הישן - צפון, תל אביב יפו"
2024-06-22,22:55:47,https://www.yad2.co.il/realestate/item/3k2w28x7?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=1,3k2w28x7,"2,850,000 ₪","וייצמן 45
דירה, מרכז, הרצליה
3 חדרים • קומה 1 • 69 מ״ר","דירה, מרכז, הרצליה"
2024-06-22,22:55:47,https://www.yad2.co.il/realestate/item/bcsca5sx?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=1,bcsca5sx,"3,650,000 ₪","הצנחנים 20
דופלקס, מחנה יהודה, פתח תקווה
6 חדרים • קומה 4 • 180 מ״ר","דופלקס, מחנה יהודה, פתח תקווה"
2024-06-22,22:55:47,https://www.yad2.co.il/realestate/item/7aoypmxe?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=1,7aoypmxe,"7,500,000 ₪","הזית 1
בית פרטי/ קוטג', בית עוזיאל, בית עוזיאל
7 חדרים • קומה קרקע • 750 מ״ר","בית פרטי/ קוטג', בית עוזיאל, בית עוזיאל"
2024-06-22,22:55:47,https://www.yad2.co.il/realestate/item/p7myqwf9?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=1,p7myqwf9,"4,900,000 ₪","לוטם 9
דו משפחתי, פרדסיה, פרדסיה
5 חדרים • קומה קרקע • 200 מ״ר","דו משפחתי, פרדסיה, פרדסיה"
